Day,Subject,Timing,
Monday,NLP,09:00 AM - 10:00 AM,
Monday,DL,10:00 AM - 11:00 AM,
Monday,BI,11:00 AM - 12:00 PM,
Monday,Lunch,12:00 PM - 01:00 PM,
Monday,BI,06:00 PM - 11:00 PM,
Monday,DL Prac,02:00 PM - 04:00 PM,
Tuesday,NLP,09:00 AM - 10:00 AM,
Tuesday,DL,10:00 AM - 11:00 AM,
Tuesday,BI,11:00 AM - 12:00 PM,
Tuesday,Lunch,12:00 PM - 01:00 PM,
Tuesday,NLP Prac,02:00 PM - 04:00 PM,
Wednesday,NLP,09:00 AM - 10:00 AM,
Wednesday,DL,10:00 AM - 11:00 AM,
Wednesday,BI,11:00 AM - 12:00 PM,
Wednesday,Lunch,12:00 PM - 01:00 PM,
Wednesday,DL,09:00 PM - 10:00 PM,
Wednesday,BI Prac,02:00 PM - 04:00 PM,
Thursday,NLP,09:00 AM - 10:00 AM,
Thursday,DL,10:00 AM - 11:00 AM,
Thursday,BI,11:00 AM - 12:00 PM,
Thursday,Lunch,12:00 PM - 01:00 PM,
Thursday,DL Prac,02:00 PM - 04:00 PM,
Friday,Project,02:00 PM - 04:00 PM,
Monday,Project,12:00 AM - 03:58 AM,
Wednesday,Project,10:00 PM - 11:30  PM,
